ID,oldID,NAME,RESPONSE,PREFEC,DISTRICT,PRBLOCK,INCUMB,TERM,PARTY,SEX,AGE,RESULT,Q1,Q2_1,Q2_2,Q2_3,Q3_1,Q3_2,Q3_3,Q4_1,Q4_2,Q4_3,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q9_14,Q9_15,Q9_16,Q9_17,Q9_18,Q9_19,Q9_20,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,Q12
880,1013,湊侑子,1,30,3,NA,1,0,11,2,26,4,4,3,1,14,3,6,1,1,3,4,2,3,3,3,3,3,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,3,5,2,1,1,1,4,1,1,1,1,1,1,4,2,2,5,5,5,3,2,3,3,3,4,2,1,5,5,2,4,1,5,3,40,10,10,50,50,40,0,0,0,0,0,50,80,60,1
881,616,石破茂,1,31,1,59,3,7,1,1,51,1,2,3,5,1,15,5,14,1,5,2,4,NA,NA,3,3,NA,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,3,2,2,1,1,3,4,3,3,1,3,4,4,3,2,2,1,4,3,4,2,2,5,2,3,2,2,2,2,4,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
882,617,奥田保明,1,31,1,59,1,0,2,1,49,4,2,13,3,6,13,3,6,3,1,2,3,4,3,3,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3,1,1,2,3,4,4,2,4,3,3,4,4,4,3,2,2,3,3,2,2,3,3,4,2,3,2,3,3,3,3,2,2,3,4,25,50,50,50,50,50,75,75,75,75,75,75,50,25,2
883,618,岩永尚之,1,31,1,59,1,0,4,1,52,4,4,3,9,5,5,9,14,3,2,5,3,3,3,4,3,3,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,3,1,5,5,5,5,1,5,5,5,5,5,5,1,3,3,5,5,5,1,1,5,5,1,1,5,5,3,3,5,5,5,1,3,20,50,50,45,25,50,50,50,50,50,45,50,40,50,3
884,1014,細川幸宏,1,31,1,NA,1,0,11,1,40,4,4,15,1,3,15,1,3,3,4,2,3,3,3,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,3,4,3,2,1,1,3,1,2,1,1,1,1,2,2,3,3,5,5,1,1,3,3,3,3,1,1,3,3,1,1,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
885,619,赤沢亮正,1,31,2,59,3,1,1,1,48,1,2,3,15,15,15,5,15,1,5,2,4,3,1,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,3,2,3,3,1,1,1,4,1,2,2,3,5,2,3,2,2,3,2,4,2,2,3,5,2,3,2,2,3,5,2,2,3,4,75,90,60,50,50,90,50,50,25,25,50,50,50,50,NA
886,620,湯原俊二,1,31,2,59,1,0,2,1,46,3,3,13,3,6,13,6,12,NA,NA,NA,3,4,2,2,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,5,1,1,2,5,3,3,2,5,2,5,5,4,4,2,4,4,3,4,1,1,3,4,5,4,1,3,5,2,2,4,4,3,3,4,10,10,10,10,10,10,100,100,90,100,100,60,30,30,4
887,1015,甲谷英生,1,31,2,NA,1,0,11,1,33,4,3,15,3,7,3,15,7,5,3,1,2,3,3,3,3,3,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,2,5,1,1,1,1,4,1,1,1,1,1,2,3,4,3,4,5,5,2,1,2,3,1,3,2,2,3,3,2,2,1,4,5,50,25,25,50,25,50,0,25,0,0,25,50,50,50,1
888,621,細田博之,1,32,1,59,3,6,1,1,64,1,2,3,9,13,3,4,12,3,2,5,4,3,1,3,3,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,1,3,1,3,1,3,1,2,2,2,3,2,2,2,3,2,4,3,3,3,3,4,2,3,1,2,4,3,3,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
889,622,小室寿明,1,32,1,59,1,0,2,1,48,3,3,13,7,6,13,11,5,1,3,5,2,4,2,2,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,5,1,1,3,3,4,4,1,3,3,3,4,3,5,2,3,3,4,3,3,1,2,4,4,2,1,1,3,3,3,5,4,2,2,3,0,50,50,0,0,20,70,80,80,80,50,30,30,30,3
890,623,石飛育久,1,32,1,59,1,0,4,1,30,4,4,9,8,7,8,9,4,2,5,1,3,3,3,4,3,3,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,3,2,1,3,3,5,5,1,5,3,4,5,5,5,2,4,3,4,5,3,1,3,5,5,3,3,3,5,3,3,5,5,5,2,3,0,0,0,0,0,0,10,10,10,10,10,10,10,10,2
891,1016,池田健一郎,1,32,1,NA,1,0,11,1,29,4,4,1,14,3,6,14,12,3,1,4,2,3,3,3,3,2,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,2,3,4,3,1,1,1,4,1,2,2,2,2,3,4,3,3,3,5,4,3,1,3,3,5,4,3,1,2,4,1,1,1,5,3,40,40,50,40,40,50,10,15,5,5,40,55,80,60,5
892,624,竹下亘,1,32,2,59,3,3,1,1,62,1,2,3,5,9,3,5,9,3,1,2,4,3,1,3,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,2,3,1,1,2,2,1,2,2,1,3,3,1,1,1,2,5,4,3,2,3,3,3,4,1,2,3,4,4,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
893,625,亀井久興,1,32,2,59,3,5,6,1,69,4,2,3,7,8,3,4,1,1,3,2,3,2,3,3,2,4,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,3,1,2,2,1,5,3,3,5,4,4,2,2,1,2,5,1,4,3,3,3,4,2,4,2,2,3,5,2,3,3,5,25,25,50,5,5,10,80,70,70,70,65,25,50,40,3
894,1017,相浦慎治,1,32,2,NA,1,0,11,1,41,4,3,3,1,6,1,3,5,1,3,4,2,3,3,3,3,3,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,3,4,1,1,1,1,3,1,1,2,1,2,2,2,3,3,3,5,4,5,1,2,3,3,3,3,2,2,3,2,2,1,4,5,30,30,50,50,50,NA,25,50,10,10,NA,NA,55,45,1
895,626,逢沢一郎,1,33,1,59,3,7,1,1,54,1,2,7,8,3,1,3,11,1,3,5,4,3,1,3,3,3,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,5,1,1,1,1,1,1,1,NA,1,1,1,1,4,3,3,1,3,1,3,3,2,2,2,5,NA,5,1,1,2,2,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
896,627,高井崇志,1,33,1,59,1,0,2,1,39,3,3,13,12,7,13,12,2,5,3,1,3,4,3,3,2,2,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,5,1,1,3,1,3,3,1,3,2,3,4,3,4,2,3,2,5,2,1,2,2,3,4,3,1,1,5,2,2,4,4,4,3,5,0,10,30,20,0,10,80,90,80,90,70,70,60,40,4
897,628,東毅,1,33,1,59,1,0,4,1,32,4,4,3,9,8,9,8,5,2,1,5,3,3,3,4,3,3,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,3,1,3,1,5,5,1,5,2,4,5,5,5,2,1,2,5,5,1,1,2,5,5,1,1,1,5,4,3,5,5,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
898,1018,安原園枝,1,33,1,NA,1,0,11,2,47,4,3,15,3,6,6,NA,NA,4,3,1,2,3,3,3,3,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4,4,1,1,1,1,4,1,2,1,1,2,3,3,2,3,3,5,5,5,1,3,3,2,3,4,2,3,3,2,2,1,4,5,50,20,50,80,50,50,20,20,10,20,20,80,70,70,1
899,629,萩原誠司,1,33,2,59,3,1,1,1,52,4,3,12,13,6,12,13,5,1,5,3,4,3,1,3,3,3,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,2,3,3,5,NA,1,3,3,3,2,2,3,2,5,3,3,2,3,4,4,3,3,2,2,5,3,2,2,2,3,3,2,1,3,3,50,53,52,51,50,52,40,41,39,38,40,50,50,50,3
900,630,津村啓介,1,33,2,59,3,2,2,1,37,1,3,3,7,6,12,1,2,3,1,5,2,4,2,3,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,1,1,1,1,5,1,5,1,1,5,1,5,5,5,1,5,5,1,1,1,5,5,5,1,5,5,1,5,1,5,5,5,5,0,50,0,0,0,0,100,100,100,100,100,50,50,0,1
901,631,赤松和隆,1,33,2,59,1,0,6,1,41,4,4,3,15,14,15,3,2,1,4,5,2,2,2,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,3,1,5,1,5,1,5,5,1,5,1,5,1,5,5,5,5,5,1,1,1,5,5,1,1,1,5,5,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
902,1019,戸板道広,1,33,2,NA,1,0,11,1,49,4,4,3,15,14,3,14,8,1,3,4,2,3,3,3,3,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,3,3,2,1,1,1,3,1,1,1,1,1,1,3,5,5,3,5,3,1,1,3,3,5,4,5,4,2,3,2,1,1,5,5,50,0,50,50,25,75,0,50,0,25,25,75,50,50,1
903,632,熊代昭彦,1,33,2,NA,2,4,12,1,68,4,2,15,7,8,7,8,15,1,5,2,2,2,NA,NA,NA,2,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,5,1,1,1,1,1,1,4,4,1,3,1,1,5,3,4,5,5,3,5,5,4,3,4,5,2,2,5,4,3,NA,2,2,4,1,25,75,75,0,0,50,50,50,25,25,50,75,75,75,1
904,633,阿部俊子,1,33,3,59,3,1,1,2,49,3,3,3,5,9,8,7,5,5,3,2,4,3,1,3,3,3,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,3,2,2,3,2,1,2,3,1,3,2,1,4,3,1,1,3,2,5,3,3,4,3,3,3,2,5,2,3,5,4,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
905,1119,西村啓聡,1,33,3,59,1,0,2,1,33,4,4,12,7,6,12,14,11,3,4,NA,3,4,3,3,2,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,5,1,1,4,3,2,5,1,3,1,4,4,3,3,3,3,2,3,5,4,2,4,4,4,2,2,1,4,3,2,5,4,4,2,5,0,15,0,0,0,25,90,90,90,90,70,0,40,20,2
906,1020,池田恭一郎,1,33,3,NA,1,0,11,1,39,4,3,1,3,14,3,1,14,1,3,4,2,2,3,3,3,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4,5,2,1,1,1,3,1,1,1,1,1,3,3,3,3,3,5,5,2,1,2,3,4,3,3,1,3,3,3,3,1,5,5,60,25,50,60,60,50,25,25,10,10,25,60,60,25,1
907,634,平沼赳夫,1,33,3,NA,3,9,12,1,69,1,3,15,14,6,14,4,6,1,3,4,2,2,4,4,4,2,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,2,3,2,3,1,1,1,3,2,2,1,1,1,3,2,2,1,2,4,3,5,3,3,2,4,3,4,2,2,2,2,2,2,2,4,75,75,75,10,10,15,50,40,30,30,30,50,50,0,3
