NAME,NOELEC,DISTRICT,INCUMB,TERM,PARTY,SEX,RESULT,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,Q3_1,Q3_2,Q3_3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q5_1,Q5_2,Q5_3,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_16,Q6_17,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q7_13,Q7_14,Q7_15,Q7_16,Q7_17,Q7_18,Q7_19,Q7_20,Q7_21,Q7_22,Q7_23,Q7_24,Q7_25,Q7_26,Q7_27,Q7_28,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8
杉村太蔵,0,99,1,0,9,1,0,8,,,1,4,5,8,,,3,2,3,3,3,3,2,2,4,3,3,3,2,1,,,5,2,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,1,1,2,1,2,1,1,1,4,1,3,2,3,3,3,4,1,1,3,5,3,2,1,4,1,1,1,1,0,75,50,0,0,0,75,75,100,0,0,0,75,0,75,,2,3,2,5,3,3,5,5,1,1,1,100,100,100,,100
浜田良之,0,99,1,0,4,1,0,1,8,6,3,2,5,7,14,6,3,3,3,4,3,3,3,3,3,3,3,3,3,1,3,5,3,4,4,5,5,5,5,4,2,2,2,3,4,5,3,5,5,5,5,1,5,5,3,5,5,5,4,1,5,2,3,3,5,5,5,1,1,2,5,2,1,2,5,3,3,5,10,10,100,15,10,5,10,5,10,10,0,10,0,10,10,5,3,5,5,5,4,1,3,10,20,10,90,60,40,50,30
松岡力雄,0,99,1,0,1,1,0,10,3,1,5,3,1,10,3,1,4,3,3,3,3,2,3,3,3,3,3,3,3,1,3,4,1,1,2,2,2,2,2,1,1,3,2,2,2,2,3,2,2,2,1,2,2,3,2,2,3,2,3,2,3,3,2,2,2,3,2,2,4,4,3,1,3,2,1,2,2,80,30,20,15,10,70,40,30,50,25,65,3,15,95,40,80,4,4,2,3,3,3,2,2,60,80,60,70,70,80,60,60
三ケ尻亮子,0,99,1,0,4,2,0,8,1,5,1,2,4,8,6,5,3,3,3,4,3,3,3,3,3,3,3,3,3,1,5,6,2,4,2,5,5,5,5,3,1,1,2,4,5,4,3,5,5,5,5,1,5,5,5,5,5,5,4,1,5,1,2,4,5,5,5,1,1,2,5,5,1,1,5,3,2,0,0,0,100,50,25,0,0,0,25,0,0,0,0,0,25,5,3,5,5,5,5,1,5,8,,30,100,100,100,50,70
森正明,0,99,1,0,4,1,0,7,8,11,1,5,,7,8,11,3,3,3,4,3,3,3,3,3,3,3,3,3,1,3,5,3,4,5,5,5,5,5,4,2,2,2,4,5,5,3,5,5,5,5,1,5,5,2,5,5,5,4,1,5,3,3,2,5,5,5,1,1,2,5,2,1,2,5,3,3,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,5,5,4,1,3,100,100,100,30,20,20,70,70
米田雅子,0,99,1,0,7,2,0,3,12,5,4,5,3,5,4,13,3,3,3,3,3,3,4,3,3,3,3,3,3,1,,,1,2,5,5,3,5,5,5,5,2,5,2,5,5,5,5,5,1,3,1,2,2,1,3,1,4,2,5,1,4,4,5,5,1,5,5,5,2,3,2,,5,1,1,1,30,,,,,,100,,,,,,,,,30,5,2,4,4,3,3,5,2,0.1,1,0.1,95,90,95,40,70
若林亜紀,0,99,1,0,7,2,0,12,2,11,5,2,1,12,2,11,2,3,3,3,3,3,4,3,3,2,3,3,3,1,3,2,2,2,4,5,2,5,5,4,2,4,3,2,4,3,4,4,3,4,4,2,4,4,3,4,2,2,2,4,2,4,5,5,2,2,5,3,3,4,3,2,3,4,2,2,1,30,50,50,40,60,0,80,40,40,60,40,40,40,20,30,40,5,1,4,5,2,4,3,2,1,1,1,7,80,70,10,40
ドクター・中松,0,99,1,0,10,1,0,11,3,1,5,4,1,3,1,10,,2,,,,,,,,,,4,,1,4,2,5,3,5,5,5,5,5,5,5,5,5,3,3,4,5,3,3,3,3,3,3,3,2,3,3,3,4,3,1,3,3,3,1,1,5,3,5,4,3,1,5,3,1,2,1,25,50,40,0,0,25,25,30,50,10,25,100,25,0,25,0,5,1,1,5,2,2,2,4,25,10,0,10,5,5,85,5
雨宮秀樹,0,99,1,0,3,1,0,8,11,3,1,,,8,14,11,3,3,4,3,3,3,3,3,3,3,3,3,3,,,,3,2,5,5,2,5,5,2,2,2,2,2,5,5,4,5,4,3,5,1,4,4,3,5,2,4,3,3,1,3,4,1,5,1,3,3,,3,4,3,3,1,3,2,3,,,,,,,,,,,,,,,,,5,1,5,5,4,3,4,5,,,,,,,,
小野綾子,0,99,1,0,3,2,0,7,6,11,1,2,3,7,6,11,3,3,4,3,3,3,3,3,3,3,3,3,3,,,,3,2,5,5,2,5,5,2,2,2,2,2,5,5,4,5,4,3,5,1,4,4,3,5,2,4,3,3,1,3,4,1,5,1,3,3,,3,4,3,3,1,3,2,3,,,,,,,,,,,,,,,,,5,1,5,5,4,3,4,5,5,40,2,80,80,70,70,60
小池敏昭,0,99,1,0,3,1,0,3,2,7,2,4,3,2,3,6,3,3,4,3,3,3,3,3,3,3,3,3,3,,,,3,2,5,5,2,5,5,2,2,2,2,2,5,5,4,5,4,3,5,1,4,4,3,5,2,4,3,3,1,3,4,1,5,1,3,3,,3,4,3,3,1,3,2,3,,,,,,,,,,,,,,,,,5,1,5,5,4,3,4,5,10,70,10,50,70,60,50,40
鈴木敏之,0,99,1,0,3,1,0,11,10,2,1,2,3,10,5,2,3,3,4,3,3,3,3,3,3,3,3,3,3,,,,3,2,5,5,2,5,5,2,2,2,2,2,5,5,4,5,4,3,5,1,4,4,3,5,2,4,3,3,1,3,4,1,5,1,3,3,,3,4,3,3,1,3,2,3,,,,,,,,,,,,,,,,,5,1,5,5,4,3,4,5,3,40,1,80,80,80,80,70
広恵敏秀,0,99,1,0,3,1,0,2,11,7,3,2,4,7,2,8,3,3,4,3,3,3,3,3,3,3,3,3,3,3,1,,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,1,3,4,4,4,2,4,2,3,2,3,3,4,3,2,5,3,2,2,3,3,2,2,2,2,3,2,10,90,1,2,1,20,20,5,1,1,1,5,1,10,,5,1,4,4,4,3,3,4,,,,,,,,
古田聡,0,99,1,0,3,1,0,7,2,8,1,2,3,11,7,8,3,3,4,3,3,3,3,3,3,3,3,3,3,,,,3,2,5,5,2,5,5,2,2,2,2,2,5,5,4,5,4,3,5,1,4,4,3,5,2,4,3,3,1,3,4,1,5,1,3,3,,3,4,3,3,1,3,2,3,,,,,,,,,,,,,,,,,5,1,5,5,4,3,4,5,5,40,2,80,80,70,70,60
細野浩司,0,99,1,0,3,1,0,11,6,8,1,2,3,11,6,8,3,3,4,3,3,3,3,3,3,3,3,3,3,,,,3,2,5,5,2,5,5,2,2,2,2,2,5,5,4,5,4,3,5,1,4,4,3,5,2,4,3,3,1,3,4,1,5,1,3,3,,3,4,3,3,1,3,2,3,,,,,,,,,,,,,,,,,5,1,5,5,4,3,4,5,5,40,2,80,80,70,70,60
宮崎勝,0,99,1,0,3,1,0,3,8,6,1,3,2,6,3,11,3,3,4,3,3,3,3,3,3,3,3,3,3,,,,3,2,5,5,2,5,5,2,2,2,2,2,5,5,4,5,4,3,5,1,4,4,3,5,2,4,3,3,1,3,4,1,5,1,3,3,,3,4,3,3,1,3,2,3,,,,,,,,,,,,,,,,,5,1,5,5,4,3,4,5,5,40,2,80,80,70,70,60
米山哲郎,0,99,1,0,3,1,0,3,11,15,1,2,3,3,11,7,,,4,,,,,,,,,,,1,3,2,2,2,5,5,2,5,5,4,2,2,2,4,5,5,5,5,5,2,4,1,2,3,5,5,4,4,5,2,4,1,,1,5,1,4,2,1,3,3,3,2,1,5,2,2,,,99,,,,,,,,,,,,,30,5,,4,5,2,3,5,4,90,90,,,,,,
