NAME,NOELEC,DISTRICT,INCUMB,TERM,PARTY,SEX,RESULT,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,Q3_1,Q3_2,Q3_3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q5_1,Q5_2,Q5_3,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_16,Q6_17,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q7_13,Q7_14,Q7_15,Q7_16,Q7_17,Q7_18,Q7_19,Q7_20,Q7_21,Q7_22,Q7_23,Q7_24,Q7_25,Q7_26,Q7_27,Q7_28,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8
横山信一,0,99,1,0,3,1,1,3,5,11,1,2,5,5,13,3,3,3,4,3,3,3,3,3,3,3,3,3,3,1,4,3,3,2,5,5,2,5,5,2,2,2,2,5,5,5,5,5,5,2,3,1,2,3,3,4,2,4,4,2,1,1,1,2,5,2,3,3,2,2,5,3,2,1,1,1,1,0,50,100,1,1,1,50,50,1,1,50,1,1,1,50,0,1,2,4,3,3,2,3,4,50,10,1,80,10,70,80,80
吉田忠智,0,99,1,0,5,1,1,8,1,5,1,5,,13,8,14,3,3,3,3,4,2,3,3,3,3,3,3,3,1,3,4,1,3,1,5,2,4,4,1,1,1,1,2,3,2,2,5,3,5,5,1,5,5,5,5,5,5,5,2,5,3,3,3,5,5,5,1,1,3,5,5,1,3,5,2,2,50,25,0,30,100,70,0,0,0,40,40,0,0,60,0,60,5,4,4,4,5,4,2,4,1,20,0.1,90,90,90,80,80
渡辺具能,0,99,1,0,2,1,0,3,6,4,1,3,5,3,6,4,2,4,2,3,3,2,3,2,2,2,2,3,2,1,3,5,4,3,5,5,4,5,5,5,3,4,4,5,5,5,4,5,4,1,2,2,1,1,2,2,2,4,1,2,1,1,2,2,5,4,1,2,5,4,2,1,2,2,4,2,1,,,,,,,,,,,,,,,,,1,2,2,5,3,2,2,5,,,,,,,,
鰐淵洋子,0,99,4,1,3,2,0,11,3,8,5,3,2,6,10,8,,,4,3,,,,,,,,,,1,,,3,5,5,5,2,5,5,4,4,2,4,5,5,4,4,5,4,3,4,1,3,3,2,5,3,3,3,3,1,1,2,2,5,1,4,2,1,3,2,4,1,1,3,3,3,,,100,,,,,,,,,,,,,,5,3,4,4,4,4,3,5,,,,,,,,
湯沢大地,0,99,1,0,7,1,0,6,12,3,1,5,,6,12,3,,,,,,,4,,,,,,,1,3,,4,1,4,5,3,5,5,5,2,3,2,4,4,4,3,4,4,3,2,1,3,4,2,1,1,3,1,2,1,4,3,4,4,2,2,2,4,2,3,1,3,3,1,1,1,50,50,50,50,50,50,100,50,75,50,50,50,50,25,50,,5,4,4,5,3,4,4,4,,,,,,,,
竹内恵美子,0,99,1,0,12,2,0,2,11,15,1,5,,6,10,7,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,3,2,3,5,4,5,5,3,3,1,2,3,3,3,4,3,2,3,4,1,4,5,5,5,2,3,3,3,4,4,4,4,4,3,5,3,4,3,4,1,1,1,1,2,1,25,25,25,0,35,25,40,30,40,25,0,0,0,10,25,50,5,1,4,5,3,3,2,5,30,30,70,100,100,100,100,100
清水美代子,0,99,1,0,12,2,0,2,11,15,1,2,,3,6,7,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,3,2,3,5,5,5,5,3,3,1,2,3,3,3,4,3,2,3,4,1,4,5,5,5,2,3,3,3,4,4,4,4,4,3,5,3,4,3,4,1,1,1,1,2,1,25,25,25,10,40,25,50,50,40,25,10,0,0,10,10,50,5,1,4,5,3,3,2,5,3,1,60,100,100,100,100,100
福井智代,0,99,1,0,12,2,0,2,11,15,1,5,,6,7,10,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,3,2,3,5,4,5,5,3,3,1,2,3,3,3,4,3,2,3,4,1,4,5,5,5,2,3,3,3,4,4,4,4,4,3,5,3,4,3,4,1,1,1,1,2,1,25,25,25,10,40,10,50,50,40,25,10,0,0,10,10,10,5,1,4,5,3,3,2,5,30,30,70,100,100,100,100,100
石川敬子,0,99,1,0,12,2,0,2,11,15,1,5,,10,6,7,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,3,2,3,5,4,5,5,3,3,1,2,3,3,3,4,3,2,3,4,1,4,5,5,5,2,3,3,3,4,4,4,4,4,3,5,3,4,3,4,1,1,1,1,2,1,20,20,15,20,35,20,40,40,35,20,0,0,0,0,0,50,5,1,4,5,3,3,2,5,30,30,70,100,100,100,100,100
佐藤雅子,0,99,1,0,12,2,0,2,11,15,1,5,,6,7,10,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,3,2,3,5,4,5,5,3,3,1,2,3,3,3,4,3,2,3,4,1,4,5,5,5,2,3,3,3,4,4,4,4,4,3,5,3,4,3,4,1,1,1,1,2,1,25,25,25,10,40,10,50,50,40,25,10,0,0,10,10,50,5,1,4,5,3,3,2,5,30,100,30,100,100,100,50,50
塚本直子,0,99,1,0,12,2,0,2,11,15,1,5,,6,3,8,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,3,2,3,5,4,5,5,3,3,1,2,3,3,3,4,3,2,3,4,1,4,5,5,5,2,3,3,3,4,4,4,4,4,3,5,3,4,3,4,1,1,1,1,2,1,25,25,25,10,40,10,50,50,40,25,10,0,0,10,10,50,5,1,4,5,3,3,2,5,3,1,1,100,100,100,100,100
片岡佳世子,0,99,1,0,12,2,0,2,11,15,1,5,,6,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,3,2,3,5,4,5,5,3,3,1,2,3,3,3,4,3,2,3,4,1,4,5,5,5,2,3,3,3,4,4,4,4,4,3,5,3,4,3,4,1,1,1,1,2,1,50,50,0,0,50,0,50,50,50,50,0,0,50,0,50,50,5,1,4,5,3,3,2,5,10,10,10,80,50,50,60,50
吉山英美,0,99,1,0,12,2,0,2,11,15,1,5,,6,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,3,2,3,5,4,5,5,3,3,1,2,3,3,3,5,3,2,3,4,1,4,5,5,5,2,3,3,3,2,4,4,4,4,3,5,3,4,3,5,1,1,1,1,2,1,25,50,25,25,50,50,50,70,50,50,50,25,50,0,50,50,5,1,4,5,3,3,2,5,10,10,10,80,80,80,80,80
永井久美子,0,99,1,0,12,2,0,2,11,15,1,5,,6,7,8,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,3,2,3,5,4,5,5,3,3,1,2,3,3,3,4,3,2,3,4,1,4,5,5,5,2,3,3,3,4,4,4,4,4,3,5,3,4,3,4,1,1,1,1,2,1,25,25,30,50,50,50,70,70,50,50,50,50,50,0,50,50,5,1,4,5,3,3,2,5,30,80,60,70,80,80,70,70
矢野洋子,0,99,1,0,12,2,0,2,11,15,1,5,,15,6,11,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,3,2,3,5,4,5,5,3,3,1,2,3,3,3,4,3,2,3,4,1,4,5,5,5,2,3,3,3,4,4,4,4,4,3,5,3,4,3,4,1,1,1,1,2,1,50,25,50,50,75,25,50,50,50,75,50,25,50,0,50,25,5,1,4,5,3,3,2,5,30,30,70,100,100,100,100,100
山田太郎,0,99,1,0,7,1,0,3,2,8,2,4,5,3,8,4,3,3,3,3,3,3,4,3,3,3,3,3,3,1,2,,3,2,5,5,2,5,5,3,2,2,3,3,3,4,4,5,2,3,3,2,3,3,3,3,3,3,3,3,1,2,2,3,4,3,4,4,5,2,4,3,2,2,3,2,2,40,60,20,20,20,10,100,20,60,30,20,0,20,10,10,0,4,2,4,4,2,4,4,4,100,50,90,100,80,70,80,70
杉井保之,0,99,1,0,11,1,0,2,12,3,4,1,5,2,12,6,,,,,,,,,,,,,4,1,,,,,,5,5,5,5,5,5,,,,,5,,,,1,1,,1,1,1,1,1,,1,,1,,4,,,,2,,5,,,1,,,1,,,0,,,0,0,,,,90,0,0,0,100,0,,0,1,2,2,5,2,1,,,,,,,,,,
藤巻幸夫,0,99,1,0,7,1,0,3,13,12,4,5,3,13,3,12,3,3,3,3,3,3,4,3,3,3,3,3,3,1,,,1,2,5,5,3,5,5,5,5,2,5,2,5,5,5,5,5,1,3,1,2,2,1,3,1,4,2,5,1,4,4,5,5,1,5,5,5,2,3,2,,5,1,1,1,30,35,20,20,20,15,100,25,15,15,15,0,0,0,35,25,5,2,4,4,3,3,5,2,0.1,1,0.1,95,90,95,40,70
田中雅英,0,99,1,0,7,1,0,15,1,2,1,5,,15,,,3,3,3,3,3,3,4,3,3,3,3,3,3,1,3,,1,1,1,5,1,5,5,3,3,3,2,1,5,3,3,5,1,2,1,2,3,3,2,2,2,5,3,5,3,5,2,5,2,1,1,1,5,3,4,1,4,3,3,2,1,50,50,50,50,50,50,100,0,50,0,0,0,0,50,50,50,1,3,3,3,5,4,3,4,,,,,,,,
清水隆司,0,99,1,0,11,1,0,2,1,13,1,4,5,2,1,13,3,3,3,3,3,3,2,2,2,3,3,3,4,1,3,5,3,2,5,5,4,5,5,5,4,3,5,2,4,5,4,5,2,1,1,3,1,2,1,1,2,2,1,3,1,3,3,4,4,2,1,3,5,3,3,1,4,2,1,3,1,25,0,0,0,0,0,25,25,50,25,0,0,100,25,0,25,2,2,1,5,1,2,2,3,10,80,10,80,80,80,30,80
小林解子,0,99,1,0,4,2,0,8,1,14,2,5,1,8,7,6,,,,4,,,,,,,,,,,,,3,4,3,5,5,5,5,2,2,4,2,4,4,4,3,5,5,5,5,1,5,5,5,5,5,5,5,1,5,2,3,5,4,5,5,1,1,3,4,3,1,1,5,3,3,0,0,0,100,50,0,0,0,0,0,0,0,0,0,0,0,5,2,5,4,5,5,1,5,20,10,7,70,50,50,40,40
