ID,NAME,RESPONSE,NOELEC,DISTRICT,INCUMB,PARTY,PROP,TERM,SEX,RESULT,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,Q3_1,Q3_2,Q3_3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q4_19,Q4_20,Q4_21,Q4_22,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q6,Q7,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6_1,Q14_6_2,Q14_6_3,Q14_6_4,Q14_6_5,Q14_6_6,Q14_6_7,Q14_6_8,Q14_6_9,Q15_1,Q15_2,Q15_3,Q16
55,谷井美穂,1,0,11,1,12,0,0,2,0,5,2,12,5,1,3,5,2,1,1,1,1,1,1,2,2,1,2,5,5,2,1,4,5,1,1,1,2,5,5,2,1,1,5,4,4,5,2,3,1,3,1,1,1,2,1,2,2,2,2,2,3,3,3,3,2,2,5,2,2,1,1,5,5,4,5,5,5,2,4,66,0,0,1,1,1,1,1,1,0,2,8,1,憲法改正
56,矢倉克夫,1,0,11,1,4,0,0,1,1,13,2,7,1,5,3,2,1,3,2,5,1,3,4,5,3,1,1,1,3,3,2,99,1,2,1,2,5,1,5,1,2,2,3,1,3,2,2,4,3,4,1,3,3,2,2,1,3,3,4,3,3,3,3,3,3,3,5,1,1,1,1,5,5,1,4,5,4,0,4,66,0,0,0,1,1,0,0,0,0,2,14,6,政治の安定
57,川上康正,1,0,11,1,8,0,0,1,0,12,7,3,2,5,1,12,7,3,5,5,3,5,5,5,5,4,3,5,5,5,5,5,2,3,4,5,4,4,5,2,4,4,2,2,5,1,5,5,4,5,5,4,5,5,5,3,3,3,3,3,3,3,4,2,3,3,2,2,1,2,2,2,2,2,2,4,4,2,3,66,0,0,1,1,1,0,1,1,1,6,2,1,平和憲法改悪阻止
58,古川俊治,1,0,11,4,1,0,1,1,1,6,16,2,3,1,5,6,3,2,2,5,1,3,1,3,3,4,5,1,1,2,3,4,5,3,4,2,4,3,1,4,3,2,4,3,2,2,2,5,5,4,3,2,2,4,2,4,2,99,2,2,3,3,3,99,3,99,5,2,1,5,4,5,2,3,4,3,4,2,2,66,0,1,0,0,0,0,1,0,0,2,3,7,”ネジレ”を取るか残すか
59,山根隆治,1,0,11,4,2,0,2,1,0,7,6,1,3,1,5,7,6,1,2,3,1,1,3,5,4,3,4,3,2,4,2,4,5,3,2,3,4,4,4,2,1,4,4,2,2,2,4,4,5,1,3,3,4,5,5,3,4,3,3,3,3,3,3,3,3,3,6,1,1,4,2,2,4,2,2,3,5,3,2,66,0,0,0,1,1,0,0,0,0,1,2,6,雇用と福祉を守るための
60,宮永照彦,1,0,11,1,16,0,0,1,0,10,14,2,5,4,3,2,3,7,1,1,3,1,1,1,1,1,5,5,5,5,1,5,1,1,3,5,5,1,1,1,5,5,1,5,5,1,5,1,5,5,1,1,1,1,5,1,1,99,1,1,1,1,1,1,1,1,5,1,1,1,1,5,1,1,5,0,0,0,0,1,66,66,66,66,66,66,66,66,66,10,14,11,アベノミクス
61,石井準一,1,0,12,4,1,0,1,1,1,5,13,1,1,3,4,6,5,13,3,2,2,3,3,2,3,2,2,2,3,3,4,3,5,4,1,3,5,3,5,3,3,3,3,3,3,3,3,3,3,3,2,2,3,1,3,4,99,99,1,99,99,99,99,99,99,99,5,3,3,3,3,3,3,2,2,4,4,0,4,66,0,0,0,1,1,0,0,0,0,1,2,5,ねじれ解消
62,太田和美,1,0,12,1,7,0,0,2,0,15,2,16,3,5,4,15,13,9,3,5,1,3,4,4,4,3,2,5,3,2,5,4,4,3,2,5,3,2,4,2,2,3,2,3,3,1,2,4,4,1,4,3,5,5,5,3,1,3,2,1,3,4,1,1,1,1,5,2,1,2,2,2,3,2,4,5,5,5,3,66,0,0,0,1,1,0,1,1,0,1,6,14,見せかけだけの自民党政治に戻さない
63,寺尾賢,1,0,12,1,6,0,0,1,0,7,6,12,3,2,5,7,12,15,5,5,5,5,5,5,3,3,3,5,5,5,5,5,1,3,5,5,5,5,5,1,5,5,1,3,5,99,5,5,5,5,5,4,5,5,5,99,99,99,99,99,4,99,99,99,99,99,99,1,1,1,1,5,3,1,3,5,5,0,4,66,0,0,0,1,1,0,1,0,0,2,14,5,自共対決
64,豊田俊郎,1,0,12,1,1,0,0,1,1,16,1,13,5,3,2,5,9,13,1,3,1,3,1,2,3,2,2,3,3,3,3,3,3,2,1,3,4,1,3,1,2,2,3,3,3,3,3,3,3,3,1,2,1,3,1,4,99,99,1,99,99,99,99,99,99,99,5,3,1,4,2,4,2,1,3,1,0,2,3,66,0,0,0,1,1,0,1,1,0,6,3,14,
65,長浜博行,1,0,12,4,2,0,1,1,1,6,5,9,5,2,1,6,5,9,4,4,3,3,3,3,5,4,4,1,1,1,3,3,2,3,2,4,3,3,3,3,2,4,3,3,2,1,3,3,3,2,3,99,5,99,5,99,99,99,99,99,99,99,99,99,99,99,99,1,1,1,2,2,3,1,3,5,4,3,4,66,0,0,1,1,1,1,1,1,0,2,99,99,
66,松島弘典,1,0,12,1,12,0,0,1,0,12,1,14,1,4,5,14,1,3,1,1,1,1,1,1,1,3,1,5,5,2,1,2,5,2,1,1,1,5,2,3,2,1,5,4,3,5,1,4,2,5,1,1,1,1,1,1,3,2,3,2,3,3,3,3,3,2,5,1,1,3,2,2,2,3,3,5,5,5,3,66,0,0,1,0,0,0,0,0,0,2,3,11,憲法改正
67,渡辺裕一,1,0,12,1,14,0,0,1,0,1,5,12,1,5,99,10,5,1,1,1,2,1,1,1,3,2,3,4,3,4,5,1,5,5,1,2,3,5,3,3,3,3,1,1,1,3,3,3,3,3,1,1,1,2,1,3,3,3,3,3,3,3,3,3,3,3,10,3,2,2,2,2,4,2,3,4,4,0,1,66,0,1,0,0,0,0,0,0,0,13,6,5,
68,寺田昌弘,1,0,12,1,5,0,0,1,0,16,10,12,99,2,99,12,2,3,2,3,1,3,4,4,3,4,3,5,3,2,1,4,5,2,3,4,2,2,3,2,2,2,5,2,3,1,3,3,5,3,2,2,3,3,3,2,2,2,2,4,2,2,2,2,2,2,99,2,2,3,3,4,3,4,4,1,0,0,4,66,0,0,1,1,1,0,1,1,0,13,14,1,日本の民主主義が試される
69,花崎広毅,1,0,12,1,3,0,0,1,0,10,11,12,2,4,5,10,11,7,1,1,1,3,1,3,3,3,3,3,1,1,1,2,5,99,2,3,1,1,1,1,1,1,5,2,3,1,1,5,5,1,1,1,3,2,4,2,3,4,3,1,3,3,3,3,3,3,6,1,1,2,2,1,5,3,5,5,4,2,4,66,0,0,0,1,1,0,1,1,0,1,6,2,体制維新
70,大河原雅子,1,0,13,4,17,0,1,2,0,15,7,14,1,5,2,15,14,16,3,5,5,4,5,5,5,3,4,4,3,2,5,5,1,3,5,5,4,5,5,1,5,5,2,3,5,1,5,5,5,5,5,4,5,5,5,3,4,3,3,3,3,2,2,2,3,3,3,1,2,1,2,3,2,2,3,4,4,2,4,66,0,0,1,1,1,0,0,0,0,2,6,13,安倍のリスク審判
71,吉良佳子,1,0,13,1,6,0,0,2,1,7,15,12,1,2,5,7,15,12,5,5,2,5,5,5,5,1,3,5,5,5,5,5,1,3,3,5,5,5,5,1,5,5,1,2,5,1,5,5,5,5,5,4,5,5,5,99,99,99,99,99,4,99,99,99,99,99,2,1,1,1,1,3,3,3,3,5,5,0,4,66,0,0,1,1,1,0,1,0,0,1,2,14,自共対決
72,釈量子,1,0,13,1,12,0,0,2,0,1,12,16,1,3,4,1,12,2,1,1,1,1,1,1,3,2,1,5,5,3,1,4,5,2,1,1,1,5,2,2,2,2,5,3,2,5,4,4,3,4,1,1,1,2,2,1,3,3,3,3,3,3,3,3,3,3,7,2,2,2,2,4,4,2,4,3,5,5,2,66,0,0,1,1,1,0,1,0,0,2,1,14,日本の誇りを取り戻す
73,鈴木寛,1,0,13,4,2,0,2,1,0,5,6,12,5,3,1,5,6,12,3,3,1,3,3,4,4,4,4,2,2,2,2,3,3,3,3,3,3,3,4,2,4,4,4,3,3,3,2,3,4,2,4,3,5,5,4,2,4,3,3,2,3,3,3,2,2,2,5,2,2,3,3,3,4,4,4,5,2,3,4,66,0,0,0,1,1,0,1,1,0,13,2,11,インターネット選挙運動解禁
74,武見敬三,1,0,13,4,1,0,3,1,1,99,99,99,5,1,3,1,6,12,2,2,1,2,1,99,4,2,2,2,1,3,99,3,5,1,1,2,3,3,2,3,3,2,4,2,2,3,3,3,4,4,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,2,1,3,4,4,2,5,5,3,2,66,0,0,0,1,1,0,1,0,0,2,6,3,
75,丸川珠代,1,0,13,4,1,0,1,2,1,16,99,99,99,99,99,5,7,3,1,3,1,1,99,1,99,99,1,99,99,99,99,99,5,99,1,3,99,1,3,1,99,99,99,99,99,99,1,99,99,99,1,99,99,1,1,4,3,2,2,2,3,3,3,3,2,2,5,3,1,3,3,3,3,3,3,4,99,1,2,66,0,0,1,1,1,0,0,1,0,99,99,99,安倍内閣への信任を問う
76,山口那津男,1,0,13,4,4,0,2,1,1,13,2,6,3,2,1,13,1,2,3,4,3,4,5,4,4,2,3,2,3,4,3,4,1,3,2,3,3,1,5,1,3,3,3,3,3,3,4,4,4,4,2,3,4,4,1,1,3,3,4,3,3,3,3,3,3,3,5,2,2,3,4,4,4,2,2,5,4,5,3,66,0,0,0,1,0,0,0,0,0,2,1,11,ねじれ解消
77,小倉淳,1,0,13,1,3,0,0,1,0,10,5,12,5,4,3,10,5,16,1,3,1,2,1,1,3,3,4,4,3,2,1,4,5,3,1,3,3,1,1,2,2,2,5,3,3,1,1,4,5,3,1,1,2,1,2,2,2,4,2,2,3,3,3,3,2,2,7,1,1,1,1,2,5,3,5,5,4,5,4,66,0,0,1,1,1,0,1,0,0,1,13,14,デジタルデモクラシー
78,桐島ローランド,1,0,13,1,5,0,0,1,0,5,16,15,1,3,5,16,5,15,1,2,1,3,2,4,3,4,3,5,3,2,1,3,5,2,3,4,1,1,1,2,2,3,5,3,3,1,2,3,5,3,1,2,3,1,3,2,2,2,2,4,2,2,2,2,2,2,6,2,2,2,2,2,4,3,5,4,0,4,4,66,0,0,1,1,1,1,1,1,0,14,13,2,
79,丸子安子,1,0,13,1,9,0,0,2,0,15,5,6,5,4,1,15,5,6,5,5,3,5,5,5,5,4,2,5,5,1,5,5,1,2,5,5,5,5,5,1,3,5,2,1,5,1,5,5,4,5,5,4,5,5,5,3,2,3,3,3,3,2,2,4,2,99,5,3,2,2,2,4,3,2,2,4,4,0,4,66,0,0,0,1,1,0,1,0,0,1,14,6,いのちを守る
80,山本太郎,1,0,13,1,17,0,0,1,1,15,99,99,99,99,99,15,7,6,5,5,3,5,5,5,5,3,1,5,5,3,5,5,1,5,3,5,1,5,5,1,5,5,1,3,5,99,3,99,99,5,5,4,5,5,5,3,3,3,3,3,1,1,1,2,1,99,5,2,2,3,3,3,4,3,3,3,99,99,3,66,0,0,0,0,1,1,0,0,1,1,13,14,国を売る者と守る者の闘いの
81,犬丸勝子,1,0,13,1,17,0,0,2,0,16,15,12,1,4,3,16,6,12,5,5,3,3,5,3,5,3,3,5,3,3,5,5,3,3,5,5,3,5,5,5,3,5,3,3,5,1,5,5,5,5,5,4,5,5,5,3,3,3,3,3,3,3,3,3,3,3,5,3,1,3,3,3,5,3,5,5,4,1,3,66,0,0,0,0,1,0,0,0,0,13,3,5,不正選挙無くそう
82,鈴木信行,1,0,13,1,14,0,0,1,0,1,8,12,2,1,5,1,12,15,1,1,3,1,1,1,3,1,1,5,2,3,5,2,5,5,1,1,3,5,5,5,1,4,1,3,2,5,3,2,2,5,1,1,1,5,4,2,3,2,3,3,3,3,3,3,3,3,10,3,1,2,3,4,5,3,1,5,5,3,3,66,0,0,1,1,1,1,0,0,0,11,5,13,日本の転換点
83,又吉光雄,1,0,13,1,16,0,0,1,0,3,2,7,4,3,5,3,2,7,3,3,1,3,1,5,5,3,3,3,3,3,5,3,5,5,1,5,3,5,3,5,2,3,2,3,1,1,1,3,3,3,5,4,5,5,4,3,3,3,3,3,3,3,3,3,3,3,99,1,1,1,2,3,5,2,5,2,0,0,0,4,66,66,66,66,66,66,66,66,66,1,13,5,日本の道
84,中松義郎,1,0,13,1,17,0,0,1,0,1,13,15,4,5,2,16,15,1,1,2,1,2,3,1,2,2,2,5,5,4,2,4,5,4,1,4,5,5,1,1,2,2,2,3,2,3,3,3,4,5,5,4,5,5,5,99,99,99,99,99,99,99,99,99,99,99,5,1,1,1,1,4,5,1,5,99,5,5,4,66,0,0,0,1,1,0,1,0,0,1,11,13,初ネット
85,中村高志,1,0,13,1,17,0,0,1,0,2,15,99,5,4,99,15,99,99,2,3,2,2,3,4,3,4,3,3,4,2,1,3,2,2,3,4,3,3,2,2,3,2,4,2,4,1,3,4,4,3,3,3,3,3,3,2,2,2,3,2,3,2,2,2,2,2,5,3,3,3,3,2,3,2,4,0,0,0,0,3,66,66,66,66,66,66,66,66,66,5,99,99,ゆがみを正す
86,西野貞吉,1,0,13,1,17,0,0,1,0,2,16,6,99,99,99,2,6,3,1,2,1,1,1,1,3,1,1,5,5,3,1,5,3,2,1,5,3,1,1,5,1,2,2,2,4,5,2,4,2,1,1,1,2,1,2,2,3,2,3,2,3,3,3,3,2,3,7,1,1,1,2,1,1,2,3,0,0,0,0,1,66,66,66,66,66,66,66,66,66,15,6,13,ふ化する前の卵
87,松本実,0,0,13,1,17,0,0,1,0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,
88,マック赤坂,1,0,13,1,16,0,0,1,0,1,12,5,3,4,5,1,5,10,5,5,1,5,5,5,1,5,5,5,5,1,1,1,1,1,1,5,5,1,1,1,3,3,3,3,3,3,3,3,3,3,5,4,5,5,1,99,99,99,99,99,99,99,99,99,99,99,5,1,1,1,1,1,1,1,1,2,2,5,1,66,0,0,0,0,0,0,1,0,0,1,6,14,恒久平和
89,森純,0,0,13,1,17,0,0,1,0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,
90,及川幸久,1,0,14,1,12,0,0,1,0,16,1,2,1,5,3,16,1,2,1,99,1,1,1,1,1,1,1,5,5,1,1,2,4,2,1,1,3,5,4,5,1,1,5,5,1,5,1,5,1,5,1,1,1,1,1,2,3,2,3,2,3,3,3,3,3,3,8,1,1,2,1,99,5,4,2,3,4,2,2,66,0,0,0,1,1,0,0,0,0,14,2,5,国家観を取り戻す
91,木村栄子,1,0,14,1,8,0,0,2,0,15,12,7,1,4,5,15,12,7,5,5,3,5,5,5,5,2,2,5,5,2,5,5,1,3,5,5,5,5,5,1,4,5,2,2,4,1,4,5,4,5,5,4,5,5,5,99,99,99,99,99,99,99,99,99,99,99,5,4,2,3,3,3,2,1,4,5,5,99,3,66,0,0,0,1,1,0,1,0,0,2,1,14,
92,佐々木さやか,1,0,14,1,4,0,0,2,1,3,5,13,1,3,2,13,7,5,3,5,1,3,5,5,4,2,2,1,2,99,3,4,1,2,3,4,3,2,4,1,2,4,3,2,4,3,3,5,4,5,3,3,5,5,1,1,3,3,4,3,3,3,3,3,3,3,5,2,2,3,4,3,3,3,3,4,4,2,3,66,0,0,0,1,1,0,0,1,1,2,1,14,生活安定の実現
93,島村大,1,0,14,1,1,0,0,1,1,6,7,5,1,3,2,6,5,13,1,2,1,3,1,1,4,1,2,2,2,3,3,3,5,5,1,3,3,1,3,1,1,2,3,3,2,3,1,3,3,1,2,2,1,2,1,4,3,2,2,2,3,3,3,3,3,2,8,2,2,1,2,3,3,3,3,4,5,0,3,66,0,1,0,1,1,1,0,1,0,1,2,13,日本を取り戻す
94,畑野君枝,1,0,14,2,6,0,1,2,0,7,5,12,3,2,99,5,7,1,5,5,2,4,5,5,5,2,3,5,5,5,5,5,1,3,3,5,5,5,5,1,4,5,1,2,5,1,5,5,5,5,5,4,5,5,5,3,3,3,3,3,4,3,3,3,3,3,2,1,1,1,1,3,3,3,3,5,5,1,3,66,0,0,1,1,1,0,1,0,0,2,1,5,自共対決
95,牧山弘恵,1,0,14,4,2,0,1,2,1,5,6,7,5,1,3,5,6,7,3,3,3,4,5,5,4,3,4,3,4,4,2,5,3,2,4,4,3,2,3,1,3,4,3,3,4,3,4,5,4,1,2,2,5,5,5,3,4,2,3,2,3,2,2,2,2,2,4,2,1,3,2,3,4,1,3,4,5,1,3,66,0,0,1,1,1,0,1,1,0,1,2,3,自民独走阻止選挙
96,松沢成文,1,0,14,1,5,0,0,1,1,9,10,12,5,1,3,16,11,10,1,2,1,2,2,2,3,4,3,5,3,2,1,3,5,2,2,3,1,1,1,2,3,3,5,3,4,2,2,4,4,1,1,1,1,1,3,99,2,2,99,99,99,2,99,99,99,99,99,1,1,1,1,5,5,3,1,5,3,5,3,66,0,0,0,1,1,0,1,0,0,2,14,13,野党再編を問う
97,溝口敏盛,1,0,14,1,14,0,0,1,0,12,1,5,1,5,99,1,12,8,1,1,1,1,1,1,5,1,1,5,5,1,5,1,5,5,1,1,3,5,1,99,2,2,2,4,1,4,99,2,2,3,1,1,1,1,1,4,3,2,3,3,3,3,3,3,3,3,10,2,2,2,2,4,5,2,2,5,4,0,3,66,0,1,0,0,0,0,0,0,0,1,12,13,憲法論議
98,水戸将史,1,0,14,4,3,0,1,1,0,16,11,2,3,4,5,2,11,15,2,3,2,3,1,2,3,3,3,4,3,3,1,3,4,3,1,3,3,1,3,3,1,3,4,3,2,3,2,3,3,3,1,1,2,1,3,99,99,4,99,1,3,99,3,99,99,99,5,2,2,3,3,3,3,3,3,5,5,3,3,66,0,0,1,0,0,0,0,0,0,2,7,8,日本の仕組みを変える
99,露木順一,1,0,14,1,9,0,0,1,0,12,1,15,4,5,1,11,14,13,4,5,4,4,5,5,4,2,3,5,2,3,5,4,2,3,3,4,2,3,2,2,4,4,4,4,3,1,2,4,4,4,5,4,5,5,5,3,2,3,2,2,3,3,2,4,2,2,4,3,1,3,2,2,2,3,2,5,4,1,4,66,0,0,0,1,1,0,1,1,0,2,1,13,アベノミクス
100,森下正勝,1,0,14,1,17,0,0,1,0,12,1,3,5,99,99,16,99,99,1,2,5,1,1,1,1,5,3,5,5,3,3,5,5,5,1,1,1,5,5,3,1,2,2,1,1,5,1,1,5,2,1,1,1,1,3,1,99,99,99,99,99,99,99,99,99,99,99,4,99,99,99,99,99,99,99,1,0,0,0,99,66,66,66,66,66,66,66,66,66,99,99,99,国の安全を守る
101,生越寛明,1,0,15,1,12,0,0,1,0,1,2,3,1,3,4,1,2,15,1,1,1,1,1,1,1,1,1,5,5,1,1,3,5,1,1,1,1,5,1,3,3,1,4,3,3,5,3,5,1,5,1,1,1,2,1,2,3,3,3,2,3,3,3,3,3,3,8,2,2,2,3,2,1,3,5,5,5,0,3,66,0,0,1,1,1,0,1,1,0,2,3,1,憲法改正
102,風間直樹,1,0,15,4,2,0,1,1,1,6,5,12,1,5,99,1,2,16,3,3,1,3,5,5,4,3,5,2,3,3,2,4,5,3,3,3,1,1,5,3,3,3,3,3,3,1,5,5,5,5,1,1,5,5,5,2,4,3,3,2,3,3,99,99,99,99,99,1,1,3,3,5,5,2,5,4,5,2,2,66,0,0,0,1,1,0,1,1,0,2,7,13,アベノミクス崩壊
103,塚田一郎,1,0,15,4,1,0,1,1,1,3,14,16,1,3,4,16,2,3,1,2,1,1,1,1,3,1,1,2,3,4,2,2,5,2,1,2,4,3,4,3,2,3,3,3,3,4,2,3,2,4,99,1,1,1,1,4,3,3,1,3,3,3,3,3,3,3,8,2,1,3,2,3,4,3,2,4,3,2,3,66,0,0,1,1,1,0,0,1,0,2,1,3,経済再生
104,西沢博,1,0,15,1,6,0,0,1,0,7,15,12,1,2,3,7,15,12,5,5,3,4,5,5,5,2,3,5,5,5,5,5,1,3,3,5,4,5,5,1,4,4,1,2,5,1,5,5,4,5,5,4,5,5,5,3,3,3,3,3,4,3,3,3,3,3,2,1,1,2,1,4,2,2,4,5,4,0,3,66,0,0,0,1,1,0,0,0,0,2,1,6,自共対決
105,森ゆうこ,1,0,15,4,7,0,2,2,0,5,6,15,1,5,99,5,15,16,2,3,1,3,3,3,3,2,2,5,3,3,5,3,99,5,3,5,3,5,5,5,3,99,3,2,3,1,3,5,2,1,3,3,5,5,5,99,99,99,99,99,99,99,99,99,99,99,6,2,2,2,3,3,3,2,5,5,4,5,4,66,0,0,1,1,1,0,1,1,0,1,2,6,こどもたちの輝く未来を実現する
106,米山隆一,1,0,15,1,3,0,0,1,0,6,3,5,1,3,5,6,3,5,1,1,1,2,1,3,3,4,3,1,2,1,1,3,5,2,3,1,1,1,1,3,1,3,4,3,3,4,1,4,5,1,99,2,4,1,2,2,2,4,2,3,3,3,3,3,3,2,7,1,1,3,3,3,5,4,4,5,4,1,3,66,0,0,0,1,1,1,1,0,0,2,1,13,自民党
107,渡辺英明,1,0,15,1,8,0,0,1,0,12,15,5,1,2,4,5,12,15,5,5,5,5,5,5,5,2,3,5,5,5,5,5,1,3,5,5,5,5,5,1,5,5,1,1,5,1,5,5,5,5,5,4,5,5,5,3,2,3,3,3,3,2,4,2,2,3,2,3,2,3,3,3,2,4,5,1,4,0,3,66,0,0,1,1,1,0,1,0,0,2,1,8,日本の選択
108,安久美与子,1,0,15,1,17,0,0,2,0,15,9,5,5,99,99,6,15,9,4,3,1,4,5,5,3,4,5,5,5,2,2,5,1,2,2,5,5,2,1,2,5,3,5,2,4,1,5,5,5,5,5,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3,5,2,2,4,2,3,1,2,1,1,2,0,0,4,66,66,66,66,66,66,66,66,66,5,6,1,自民党の原発再稼働路線の是非を問う
109,堂故茂,1,0,16,1,1,0,0,1,1,11,5,3,1,5,4,11,5,4,1,5,1,3,3,3,2,2,3,2,2,3,3,3,5,3,2,2,4,3,3,3,2,3,2,3,3,4,4,4,3,2,1,1,2,1,1,4,3,99,1,99,3,3,3,99,3,2,5,3,2,3,3,5,2,3,3,2,2,3,3,66,0,0,1,1,1,0,0,0,0,2,1,6,
110,高橋渡,1,0,16,1,6,0,0,1,0,7,15,6,1,2,5,15,7,6,5,5,3,4,5,5,5,2,3,5,5,5,5,5,1,4,4,5,5,5,5,1,4,4,2,2,5,1,5,5,4,5,5,4,5,5,5,3,3,3,3,3,4,3,3,3,3,3,0,1,1,3,3,3,3,2,4,4,5,1,4,66,0,0,1,1,1,0,1,0,0,2,1,14,自共対決
111,吉田かをる,1,0,16,1,12,0,0,2,0,1,5,3,1,5,4,5,1,12,1,1,1,1,1,1,3,1,1,5,5,3,1,3,5,3,1,1,3,5,1,5,1,1,3,3,3,5,3,3,1,3,1,1,1,1,2,1,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,1,3,3,3,4,5,0,4,66,0,0,0,1,1,0,0,1,0,2,6,7,幸福実現革命
112,西江嘉晃,1,0,16,1,17,0,0,1,0,12,1,15,1,5,99,15,9,1,1,2,1,3,1,5,2,2,2,2,2,3,1,1,5,2,2,1,1,4,1,1,2,4,4,2,1,1,2,4,2,1,5,4,5,4,4,99,1,99,99,99,99,99,99,99,99,99,7,5,1,5,5,1,1,3,2,0,0,0,2,66,0,0,0,0,0,0,1,0,0,11,3,2,憲法改正
113,一川保夫,1,0,17,4,2,0,1,1,0,2,11,4,1,2,3,4,11,1,3,4,1,4,4,4,4,4,4,3,3,3,4,3,2,3,3,4,4,4,5,3,4,5,3,2,2,1,2,2,4,2,3,2,5,5,5,2,4,99,2,2,99,2,2,2,99,99,6,3,3,4,4,3,2,3,2,3,5,2,3,66,0,0,0,1,0,0,0,0,0,2,6,1,
114,亀田良典,1,0,17,1,6,0,0,1,0,7,15,12,1,2,3,6,12,15,5,5,2,5,5,5,5,2,3,5,5,3,5,5,1,4,4,5,5,5,5,1,4,5,1,3,3,1,5,5,5,5,5,4,5,5,5,3,3,3,3,3,4,3,3,3,3,3,0,1,1,2,2,5,5,3,2,5,5,0,3,66,0,1,0,1,1,0,0,0,0,1,3,5,自共対決
115,宮元智,1,0,17,1,12,0,0,1,0,1,3,5,1,3,4,1,12,5,1,1,1,1,1,1,2,2,1,5,5,1,1,2,5,1,1,1,3,5,3,3,1,1,4,3,1,5,3,5,1,3,1,1,1,3,2,2,3,3,3,3,3,3,3,3,3,3,8,2,1,3,2,1,3,2,4,4,5,0,2,66,0,0,1,1,1,0,1,1,0,2,13,1,国難突破
116,山田修路,1,0,17,1,1,0,0,1,1,3,4,7,5,3,1,4,3,16,1,5,1,2,3,3,2,2,3,2,2,3,3,3,5,3,1,2,4,2,5,3,3,3,2,3,4,4,1,4,3,3,1,1,3,2,1,4,3,3,1,3,3,3,3,3,3,3,5,1,1,5,3,3,3,2,5,5,0,0,4,66,0,0,0,1,1,0,1,0,0,2,1,13,ねじれ国会解消
117,浜崎茂,1,0,17,1,17,0,0,1,0,12,1,10,4,1,5,16,5,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,2,5,3,3,3,3,3,3,3,3,3,3,3,5,3,2,3,3,3,3,3,5,4,1,0,1,66,1,0,0,0,0,0,0,0,0,5,2,11,天皇への票を有効にする
118,白川康之,1,0,18,1,12,0,0,1,0,1,2,15,1,2,4,1,15,3,1,2,1,2,1,1,2,2,2,5,5,4,1,3,5,2,1,1,3,5,3,2,1,1,4,2,2,5,2,4,1,4,1,1,1,3,1,1,3,3,3,3,3,3,3,3,3,3,8,2,2,3,4,4,3,2,4,1,2,0,0,2,66,66,66,66,66,66,66,66,66,2,9,6,国家の存続をかけた
119,滝波宏文,1,0,18,1,1,0,0,1,1,15,16,12,5,3,4,2,3,15,1,5,1,2,3,2,3,2,3,1,2,3,4,3,5,2,2,1,5,5,5,3,2,3,2,3,1,5,3,5,4,4,1,1,2,1,2,4,2,2,1,3,3,3,3,3,2,2,7,2,2,3,3,4,4,2,3,4,0,0,4,66,0,0,0,1,1,0,1,0,0,2,1,13,日本を取り戻す
120,藤野利和,1,0,18,1,2,0,0,1,0,15,12,7,1,3,2,4,15,11,4,5,1,4,5,5,4,2,99,2,5,4,2,5,3,2,1,3,4,5,3,4,4,4,2,3,1,2,5,5,5,2,5,3,4,5,5,3,4,3,3,3,3,1,2,2,2,3,4,2,2,4,3,5,5,2,2,5,1,1,2,66,0,0,1,1,1,0,0,0,0,2,1,13,アベノリスク
121,山田和雄,1,0,18,1,6,0,0,1,0,6,15,2,3,2,5,6,15,5,5,5,4,5,5,5,5,2,4,5,5,4,5,5,1,4,5,5,4,5,5,1,5,4,1,3,3,1,4,4,4,5,5,4,5,5,5,99,99,99,99,99,4,99,99,99,99,99,1,1,1,2,2,5,3,3,4,4,5,1,2,66,0,0,0,1,1,0,1,0,0,2,1,6,自共対決
